# Snowball hungarian conformance fixture. Do not edit by hand.
#
# Regenerate with:
#   bun scripts/generate-snowball-stemmers.ts --write
#
# A deterministic sample (every 25th pair, plus the first and
# last 100) of the official reference vocabulary:
#   https://github.com/snowballstem/snowball-data @ a0ec0d0a2839ec885878868de20fcb63209d92b0
#   hungarian/voc.txt -> hungarian/output.txt
# produced by Snowball v3.1.1.
#
# Format: <word>\t<stem>, one pair per line. The reader checks the row count
# against the declaration below, so a truncated fixture fails loudly instead
# of passing a thinner vocabulary.
#
# pairs: 1387
#
# The vocabularies are derived from third-party corpora; see
# hungarian/COPYING upstream for their licence terms. The Snowball
# project itself is BSD 3-Clause (see ../base-stemmer.ts).
abazinok	abazin
acsony	acsony
activával	activ
activa	activ
acélajtókon	acélajtó
acélajtó	acélajtó
acélból	acél
adagolós	adagolós
adatait	adat
adatanalízis	adatanalízis
adatbázishoz	adatbázis
adatbázis-kezelőket	adatbázis-kezelő
adatfolyamnak	adatfoly
adathálózatának	adathálózat
adatlapja	adatlap
adatszolgáltatás	adatszolgáltatás
adattárat	adattár
adatállomány-továbbítás	adatállomány-továbbítás
adhatjuk	adhat
adminisztrátori	adminisztrátor
adományozás	adományozás
adok	ad
adtán	adt
adásvételben	adásvétel
adósnak	adós
adódna	adódn
adókedvezményekkel	adókedvezmény
adósságainak	adósság
adóváltozatban	adóváltozat
afférban	affér
aggodalmat	aggodal
aggódsz	aggódsz
agrárexport-tevékenység	agrárexport-tevékenység
agyam	agy
agyag	agyag
agyonverni	agyonvern
ahogy	ahogy
ajkába	aj
ajtónk	ajtó
ajándékért	ajánde
ajánlották	ajánlotta
ajánlatos	ajánlatos
akadhat	akadh
akadályozni	akadályozn
akarat	akar
akaraterő	akaraterő
akarnának	akarn
akarókat	akaró
akciónak	akció
akire	ak
aknákkal	akna
aktus	aktus
akárhogy	akárhogy
alacsony	alacsony
alakiságokra	alakiság
alakszerű	alakszerű
alakulnod	alakuln
alakíthat	alakíth
alakítunk	alakít
alapanyagú	alapanyagú
alapelveknek	alapelv
alapgép	alapgép
alaphoz	alap
alapkamatot	alapkamat
alaplaphoz	alaplap
alapozni	alapozn
alapszabály	alapszabály
alaptalan	alaptal
alaptőkeleszállítás	alaptőkeleszállítás
alapult	alapul
alkatrészt	alkatrész
alkonyzónában	alkonyzón
alkotmánysértőnek	alkotmánysértő
alkotásaihoz	alkotás
alkotására	alkotás
alkudni	alkudn
alkönyvtárán	alkönyvtár
almenüből	almenü
already	already
alsóruhájának	alsóruhá
aludhassunk	aludhass
alvástól	alvás
alumíniumból	alumíniu
alább	alább
alárendeltnek	alárendelt
aláírja	aláír
aláírását	aláírás
amekkorák	amekkora
amelyeknél	amely
amennyire	amenny
amikbe	am
amilyenről	amilyen
amúgy	amúgy
angol	angol
annak	an
antenna	antenn
antológiát	antológ
anyagokhoz	anyag
anyagszerkezeti	anyagszerkezet
anyaországának	anyaország
anyjától	any
anyukánkat	anyuka
apartman-házat	apartman-ház
apportlistán	apportlist
apropóján	apropó
apáról	ap
apu	apu
apát	ap
aranyosan	aranyos
aranyrészvény	aranyrészvény
aratja	arat
arckifejezésében	arckifejezés
arcüreggyulladással	arcüreggyulladás
arzénvegyületek	arzénvegyület
arányokkal	arány
asszonyok	asszony
asztaladót	asztaladó
asztalához	asztal
asztrológia	asztrológ
atomi	atom
babrálgatta	babrálgatt
bajbajutottakon	bajbajutott
bajai	ba
bajtársiasságban	bajtársiasság
balatoni	balaton
balkezestől	balkezes
baloldalt	baloldal
bambán	bamb
bankjegyet	bankjegy
bankban	ba
bankszámlaszámunkat	bankszámlaszám
barcsi	barcs
barlangkutatás	barlangkutatás
barátommal	barát
barát	bar
barátjukat	barát
barátnője	barátnő
barátnőt	barátnő
barázdált	barázdál
beavatkozik	beavatkoz
becsípve	becsípv
becsületességét	becsületesség
bediktált	bediktál
bedugult	bedugul
befalazott	befalazot
befejezze	befejezz
befektetésének	befektetés
befektetőket	befektető
befizetésekből	befizetés
befogadásra	befogadás
befolyásolhat	befolyásolh
befolyásszerzésnél	befolyásszerzés
begyakorolására	begyakorolás
begépelnünk	begépeln
behatárolása	behatárolás
behálózva	behálózv
bekapcsol	bekapcsol
bekarikázta	bekarikázt
bekezdésében	bekezdés
bekopogjon	bekopogj
bekötve	bekötv
belaktunk	belakt
beledobálták	beledobálta
beleestem	beleest
belegondolunk	belegondol
belejövök	belejöv
belemarni	belemarn
belenéznie	belenézn
belesimul	beles
beleszólást	beleszólás
beleunnánk	beleunna
beleömlött	beleömlöt
belgyógyászatára	belgyógyászat
beltaghoz	beltag
belátná	belátna
berepülve	berepülv
beruházással	beruházás
besorolást	besorolás
beszedő	beszedő
beszerzést	beszerzés
beszállítócégnek	beszállítócég
beszámolója	beszámoló
beszédével	beszéd
beszédkészségemet	beszédkészség
beszélgettem	beszélgett
beszélgetők	beszélgető
beszélnie	beszéln
beszíjazták	beszíjazta
betakaró	betakaró
betegen	beteg
betegségek	betegség
betelepített	betelepítet
beteszem	betesz
betonkocka	betonkoc
betéteknek	betét
betölti	betölt
betörni	betörn
betűk	betű
bevallható	bevallható
bevenni	bevenn
bevezetett	bevezetet
bevezetésére	bevezetés
bevizsgáláson	bevizsgálás
bevonás	bevonás
beváltja	bevált
bevásárlóközpontokat	bevásárlóközpont
bevételek	bevétel
bezárjanak	bezár
beágyazottsága	beágyazottság
beállítottuk	beállított
beállításokat	beállítás
beásták	beásta
beérkezése	beérkezés
beírható	beírható
beülve	beülv
biciklire	bicikl
biciklitúra	biciklitú
bilincs	bilincs
billentyűzeten	billentyűzet
birkaszerű	birkaszerű
birtokolható	birtokolható
bizalmasságnak	bizalmasság
bizony	bizony
bizonytalanná	bizonytalan
bizonyítja	bizonyít
bizonyítványomban	bizonyítvány
bizottságba	bizottság
biztatásával	biztatás
biztonságosabbak	biztonságosabb
biztosával	biztos
biztosítsa	biztosíts
biztosítékul	biztosíte
blokád	bloka
bocsásson	bocsáss
bocsátása	bocsátás
bográcstartót	bográcstartó
bokszkesztyűk	bokszkesztyű
boldogság	boldogság
bolondságnak	bolondság
boltocska	boltocs
bombák	bomba
bomló	bomló
bontása	bontás
bonyolítsa	bonyolíts
bordáin	borda
borotva	borotv
borssal	bors
borzasztóan	borzasztó
borítóján	borító
bosszújától	bosszú
boszszankodik	boszszankod
botlása	botlás
bravúr	bravúr
bringástúrázni	bringástúrázn
brókercégek	brókercég
bujkált	bujkál
buktatta	buktatt
bulin	bul
bunyók	bunyó
busz	busz
buszmegállóba	buszmegálló
butaságban	butaság
buzgalommal	buzgal
bácsinál	bács
bálba	bál
bánatokat	bánat
bántalmazott	bántalmazot
bányavállalkozás	bányavállalkozás
bányászjárások	bányászjárás
bárhonnan	bárhonn
bármihez	bárm
bárányokat	bárány
bátorítson	bátoríts
bázisa	bázis
békebírónak	békebíró
békét	bék
bénaságba	bénaság
bérbeadással	bérbeadás
béremelésben	béremelés
bérletem	bérlet
bértáblát	bértábl
bírná	bírna
bíró	bíró
bíróküldéssel	bíróküldés
bíznom	bízn
bíztató	bíztató
bólintottam	bólintott
bőröndben	bőrön
böknek	bök
bölcsödével	bölcsöd
börtöntöltelék	börtöntöltele
búcsúzáskor	búcsúzás
bútoraival	bútor
búzatermesztéssel	búzatermesztés
bűnlista	bűnlist
bűnösként	bűnös
bűnüldöző	bűnüldöző
büdösség	büdösség
büntették	büntette
büntetőügyben	büntetőügy
jajkiáltásokat	jajkiáltás
javak	jav
javaslattal	javasl
javulásának	javulás
javított	javítot
jegyzőkönyv-vezetési	jegyzőkönyv-vezetés
jegyárbevétel	jegyárbevétel
játszogattunk	játszogatt
játékban	játe
játékfejlesztés	játékfejlesztés
játékosai	játékos
játékterek	játékter
jégszekrénnyel	jégszekrény
jókat	jó
jóhiszeműségemet	jóhiszeműség
jóképű	jóképű
jóminőségű	jóminőségű
jósol	jósol
jótékonysági	jótékonyság
jóváhagyásával	jóváhagyás
józsefvárosi	józsefváros
jön	jön
jövedelemadóba	jövedelemadó
jövedelmeikből	jövedelm
jövendőt	jövendő
jövőjükre	jövő
július	július
kabinhoz	kabin
kabátjára	kabát
kadétjának	kadét
kajánk	kaja
kakaót	kakaó
kalandozni	kalandozn
kalauz	kalauz
kalkulációt	kalkuláció
kamarai	kamar
kamaszlányt	kamaszlány
kamatlába	kamatl
kamatostól	kamatos
kamera	kam
kampány	kampány
kancellárt	kancellár
kantonizálását	kantonizálás
kanala	kanal
kapacitásigény	kapacitásigény
kapcsolatbontás	kapcsolatbontás
kapcsolatonként	kapcsolat
kapcsolatával	kapcsolat
kapcsolja	kapcsol
kapcsolódhattak	kapcsolódhatt
kapcsolódóan	kapcsolódó
kaphatnák	kaphatna
kapitánt	kapit
kapjak	kapj
kapom	kap
kapuja	kapu
kapus	kapus
kapásjelzőm	kapásjelző
karakterkódokkal	karakterkód
karbantarthatóságát	karbantarthatóság
kardos	kardos
karizmait	karizm
karlánc	karlánc
karosszériája	karosszériá
karácsony-éjszakán	karácsony-éjsz
kasszába	kassz
kaszával	kasz
katarzisról	katarzis
kategória	kategór
katolikusok	katolikus
katonája	katoná
kattintásra	kattintás
kaviccsal	kavics
kazettával	kazett
kecskelábú	kecskelábú
kedvelünk	kedvel
kedvükben	kedv
kedvesének	kedves
kedvezményt	kedvezmény
kedélyállapotomtól	kedélyállapot
kegyeskedjék	kegyeskedje
keksz	keksz
keletkezési	keletkezés
kellemetlenül	kellemetlen
kellékek	kellék
kelj	kelj
keltve	keltv
keményen	kemény
kenyeret	kenyer
kenőcsöt	kenőcs
keresetben	kereset
kereshetjük	kereshet
kereskedni	kereskedn
kereslettel	keresl
keressünk	keress
keresztapák	keresztapa
keresztezésénél	keresztezés
keresztszüleim	keresztszül
keresztülhajította	keresztülhajított
kereséssel	keresés
keresőszavak	keresőszav
kerettel	ker
keretszerűen	keretszerű
kerozint	kerozin
kertészkedésen	kertészkedés
kerékpárokat	kerékpár
kerítünk	kerít
kerületének	kerület
kerülni	kerüln
kerülővel	kerülő
kesztek	keszt
kettéválik	kettévál
kettőszázezer	kettőszázezer
keverék	kevere
kezdeményez	kezdeményez
kezdeményező	kezdeményező
kezdetétől	kezdet
kezdjen	kezdj
kezdőcsapatban	kezdőcsapat
kezelhetik	kezelhet
kezeléseket	kezelés
kezelőfelületet	kezelőfelület
kezünküleg	kezünküleg
khakiszínű	khakiszínű
kiabált	kiabál
kiadáscsökkentés	kiadáscsökkentés
kiadását	kiadás
kiaknázatlanul	kiaknázatlan
kialakítania	kialakítan
kialussza	kialussz
kibocsáthat	kibocsáth
kibocsátásához	kibocsátás
kibomlottak	kibomlott
kibéreli	kibérel
kicsalogattuk	kicsalogatt
kicserélés	kicserélés
kicsinyítés	kicsinyítés
kidekorálja	kidekorál
kidobtunk	kidobt
kidolgozásánál	kidolgozás
kiegyenlítenünk	kiegyenlíten
kiegészítés	kiegészítés
kiegészült	kiegészül
kielégítésben	kielégítés
kiemelkedően	kiemelkedő
kijárjuk	kijár
kijöttem	kijött
kikapcsolódjék	kikapcsolódje
kikerülik	kikerül
kikiáltásos	kikiáltásos
kikérdezett	kikérdezet
kiköthető	kiköthető
kikötőváros	kikötőváros
kiküldött	kiküldöt
kilencre	kilenc
kilesse	kiless
kilométernél	kilométer
kilátogattunk	kilátogatt
kilépett	kilépet
kilétét	kilét
kimagasodni	kimagasodn
kimenetet	kimenet
kimentésnek	kimentés
kimerültségre	kimerültség
kimondott	kimondot
kimutatásához	kimutatás
kinevet	kinev
kintlét	kintl
kinyitnánk	kinyitna
kinyújtanom	kinyújtan
kié	ki
kiolvashatóan	kiolvasható
kipattant	kipattan
kipróbálhat	kipróbálh
kipufogógáznak	kipufogógáz
kirajzolódott	kirajzolódot
kirekesztett	kirekesztet
kirájal	kirájal
királyunk	király
kirándulásra	kirándulás
kiröhögjék	kiröhögje
kisbankban	kisba
kisdiákot	kisdia
kisebesedett	kisebesedet
kisgazdaságnak	kisgazdaság
kishatalmi	kishatalm
kiskastélyok	kiskastély
kiskorától	kiskor
kislányok	kislány
kisportolt	kisportol
kisugárzó	kisugárzó
kisvártatva	kisvártatv
kiszemelt	kiszemel
kiszolgáltatta	kiszolgáltatt
kiszolgálófarmnak	kiszolgálófar
kiszolgálókra	kiszolgáló
kiszolgálószoftver	kiszolgálószoftver
kiszálláshoz	kiszállás
kiszélesítse	kiszélesíts
kisöccse	kisöccs
kitaláltak	kitalált
kitartó	kitartó
kiterjednek	kiterj
kiterjesztésnek	kiterjesztés
kitettem	kitett
kitépje	kitép
kitöltése	kitöltés
kitörésének	kitörés
kitűzését	kitűzés
kiutalás	kiutalás
kivetnivalót	kivetnivaló
kivittem	kivitt
kivizsgáló	kivizsgáló
kivonulás	kivonulás
kiválasztottuk	kiválasztott
kivált	kivál
kiválásáról	kiválás
kivégeztetett	kivégeztetet
kivételezett	kivételezet
kizárhatta	kizárhatt
kizárásánál	kizárás
kiáll	kiáll
kiállítások	kiállítás
kiálló	kiálló
kiáltványában	kiáltvány
kiénekelve	kiénekelv
kiérdemelhetné	kiérdemelhetn
kiöblített	kiöblítet
kiürült	kiürül
klasszikusokhoz	klasszikus
klippek	klipp
kluboknak	klub
km-et	km-et
kockát	koc
kockázatitőke-támogatást	kockázatitőke-támogatás
kocsiba	kocs
kocsinkat	kocs
kocsmája	kocsmá
kokaintól	kokain
kollekciós	kollekciós
kollégája	kollégá
kombinilására	kombinilás
komfortosoké	komfortos
kommunikációja	kommunikáció
kommunizmus	kommunizmus
komolyzenei	komolyzen
kompenzálni	kompenzáln
komponensekből	komponens
kompromisszumokra	kompromisszum
koncentrációját	koncentráció
koncepción	koncepció
koncertélményem	koncertélmény
konferenciához	konferenc
konfigurációval	konfiguráció
konfliktusában	konfliktus
konjunktúra-időszaknál	konjunktúra-idősz
konstatálom	konstatál
konszern	konszer
kontakt	kont
kontrollja	kontroll
kontúrok	kontúr
konvojügy	konvojügy
konzervgyárak	konzervgyár
konzorciumban	konzorciu
koordinálásával	koordinálás
koponyavizsgálattal	koponyavizsgál
koprodukcióban	koprodukció
korcsoportunkból	korcsoport
korlátjára	korlát
korlátozhatja	korlátozhat
korlátozásokon	korlátozás
kormánya	kormány
kormánybiztossága	kormánybiztosság
kormánykerékmodulnak	kormánykerékmodul
kormánypárt	kormánypár
kormányzathoz	kormányzat
kormányülésen	kormányülés
korra	kor
korongjuk	korong
korrekció	korrekció
korszak	korsz
korszerűsítési	korszerűsítés
korábbiakkal	korábbi
kosut	kosu
kosárlabdáról	kosárlabd
krajinai	krajin
kritikájára	kritiká
krokodilpofájút	krokodilpofájú
kubaiak	kubai
kukoricára	kukoric
kulcskérdés	kulcskérdés
kultikus	kultikus
kultúráját	kultúrá
kupamérkőzésén	kupamérkőzés
kurtította	kurtított
kurzusára	kurzus
kutatása	kutatás
kutatói	kutató
kutyagumibotunknak	kutyagumibot
kutyájáról	kutyá
kvantumelmélet	kvantumelmél
kvótákat	kvóta
kábelinfrastruktúrája	kábelinfrastruktúrá
kábítószerek	kábítószer
kánikulában	kánikul
kárbaveszte	kárbaveszt
kárról	kár
kártyáknál	kártya
kártétele	kártétel
kávé	ká
kávézási	kávézás
kéklik	kékl
kémleltem	kémlelt
kényelmesnek	kényelmes
kényszernek	kényszer
kényszerérzettel	kényszerérz
kényszerültem	kényszerült
képeknél	kép
képünkön	kép
képességei	képesség
képességű	képességű
képezte	képezt
képkezelés	képkezelés
képmásának	képmás
képtelen	képtel
képviselettel	képvisel
képviseltessem	képviseltess
képviselőjére	képviselő
képzeletet	képzelet
képzelőereje	képzelőere
képzéséről	képzés
képátalakítók	képátalakító
kérdezted	kérdezt
kérdéseddel	kérdés
kérdéssel	kérdés
kérdőjelezhető	kérdőjelezhető
kérelmekkel	kérelm
kérhetik	kérhet
kértél	kértél
kérésekből	kérés
késedelmeskedés	késedelmeskedés
késleltetnék	késleltetne
készfizető	készfizető
készség	készség
készítenem	készíten
készítsünk	készíts
készülhet	készülh
készülve	készülv
készülékét	készüle
késéssel	késés
kételkednek	kétel
kétharmados	kétharmados
kétnapos	kétnapos
kétszázan	kétszáz
kétségesnek	kétséges
kezemből	kez
kezünkön	kez
kézbesítése	kézbesítés
kézigépekre	kézigép
kézimunkával	kézimun
kézsége	kézség
kíméletlensége	kíméletlenség
kínlódva	kínlódv
kínálatnál	kínálat
kínálják	kínálja
kísérel	kísérel
kísérleti	kísérlet
kísértett	kísértet
kísérőzenéi	kísérőzen
kíváncsiságom	kíváncsiság
kívánságműsorral	kívánságműsor
kívülállóra	kívülálló
kódlapon	kódlap
kógens	kógens
kórházba	kórház
kóstolgatta	kóstolgatt
kődarab	kődarab
kőrestaurálási	kőrestaurálás
ködösítés	ködösítés
kölcsönnél	kölcsön
kölnivizes	kölnivizes
költségei	költség
költségére	költség
költségtérítést	költségtérítés
költségvetésű	költségvetésű
költötte	költött
kölyök	köly
könnyeket	könny
könnyítő	könnyítő
könyvemhez	könyv
könyvelhettek	könyvelhett
könyvkiadásban	könyvkiadás
könyvtárakhoz	könyvtár
könyvtári	könyvtár
könyvtárszobába	könyvtárszob
könyvvásár	könyvvásár
könyörtelen	könyörtel
körrel	kör
körökre	kör
körbeutazni	körbeutazn
körmenet	körmen
környezetemnek	környezet
környezetembeli	környezetembel
környéke	környe
körvonalazódni	körvonalazódn
körömben	körö
körülbelüli	körülbelül
körülményeitől	körülmény
körülnéztük	körülnézt
körülírják	körülírja
köszönettel	köszön
köszöntse	köszönts
kötbér	kötbér
kötelességemnek	kötelesség
kötelezettségeinknek	kötelezettség
kötelezettségüket	kötelezettség
kötelezze	kötelezz
kötetbe	kötet
kötetlenebb	kötetlenebb
kötvényeiket	kötvény
kötvénytulajdonosok	kötvénytulajdonos
kötődhetnek	kötődhet
kötöttségével	kötöttség
követelménnyé	követelmény
követelményrendszer	követelményrendszer
követeléseik	követelés
követelőzőek	követelőző
következek	következ
következtet	következt
következők	következő
követtem	követt
közük	köz
közalkalmazottak	közalkalmazott
közcélokra	közcél
közeledek	közeled
közelség	közelség
közemberek	közember
közgazdász	közgazdász
latin	lat
leadja	lead
lebeszélni	lebeszéln
lebonyolításának	lebonyolítás
leckékből	lecke
lecsökkentheti	lecsökkenthet
leegyszerűsített	leegyszerűsítet
leestek	leest
lefektette	lefektett
lefogja	lefog
lefordulok	lefordul
lefényképeztük	lefényképezt
legalján	legal
legbővebb	legbővebb
legelemibb	legelemibb
legendákkal	legenda
legfinomabb	legfinomabb
leggyakoribb	leggyakoribb
leghősiesebb	leghősiesebb
legjobban	legjob
legkiforrottabb	legkiforrottabb
legkézenfekvőbb	legkézenfekvőbb
leglényegesebbnek	leglényegesebb
legnagyobbika	legnagyobb
legostobább	legostobább
legrövidebben	legrövideb
legszigorúbb	legszigorúbb
legtetejére	legtete
legundorítóbb	legundorítóbb
legyen	legy
legyőztem	legyőzt
legényei	legény
legújabbváltozatára	legújabbváltozat
lehetek	lehet
lehetségesek	lehetséges
lehetőségekre	lehetőség
lehetőséges	lehetőséges
lehúzok	lehúz
lejegyzendő	lejegyzendő
lejáratra	lejárat
lejátszhatók	lejátszható
lekapcsolja	lekapcsol
lekérésének	lekérés
lelassultak	lelassult
leletek	lelet
lelkiismeret-furdalása	lelkiismeret-furdalás
lelkiállapotba	lelkiállapot
lelküket	lel
lelohadt	leloh
lelövésén	lelövés
lement	lemen
lemezekké	lemez
lemezünk	lemez
lemeztartalomból	lemeztartal
lemond	lemon
lemállott	lemállot
lendítése	lendítés
lengéscsillapítók	lengéscsillapító
lettem	lett
lenéz	lenéz
lepecsételve	lepecsételv
lepi	lep
leragadtam	leragadt
lerohanni	lerohann
leróni	lerón
leszakadt	lesz
leszorítani	leszorítan
leszállítottam	leszállított
leszármazott	leszármazot
leszűrhette	leszűrhett
letagadom	letagad
letartóztatásom	letartóztatás
leterítettünk	leterített
letompított	letompítot
letétkezelőnél	letétkezelő
letöltésére	letöltés
leugrottunk	leugrott
levegőzök	levegőz
levelével	level
levelezhessünk	levelezhess
lezuhanok	lezuhan
lezárásaként	lezárás
leánykar	leánykar
leányvállalatra	leányvállalat
leérettségizni	leérettségizn
leírja	leír
leírást	leírás
leültünk	leült
liberalizáció	liberalizáció
licencszerződésekben	licencszerződés
lihegett	liheget
limlom	liml
listaállomány	listaállomány
lisztet	liszt
lobogott	lobogot
locsolták	locsolta
logisztikában	logiszt
lokálisan	lokális
lopta	lopt
lottóra	lottó
lovakat	lov
lovász	lovász
luxus	luxus
lyukakkal	lyuk
lábaink	láb
lábunkat	láb
lábszárcsontjain	lábszárcsont
ládákon	láda
lámpánál	lámp
láncolata	láncolat
lángol	lángol
lányra	lány
lármásak	lármás
látná	látna
láthasson	láthass
látható	látható
látogatja	látogat
látogatást	látogatás
látomása	látomás
látszólagos	látszólagos
látványosságot	látványosság
láza	láz
lázálom	lázál
légierőnél	légierő
légkondicionált	légkondicionál
légtérbe	légtér
lélegeztem	lélegezt
lélekállapot	lélekállap
lényeglátó	lényeglátó
lépcsőház	lépcsőház
lépegető	lépegető
lépkedett	lépkedet
lépése	lépés
lépéséig	lépés
létesített	létesítet
létesítésétől	létesítés
létezésétől	létezés
lézerszike	lézersz
lógva	lógv
lőhetnek	lőhet
lökdösődés	lökdösődés
lövelli	lövell
macskáját	macská
maffiaellenes	maffiaellenes
magamat	mag
magáért	mag
magaslatán	magaslat
magatartásra	magatartás
magja	mag
magnózással	magnózás
magunknak	mag
magyar	magyar
magyarázatuk	magyarázat
magyarázzák	magyarázza
magánemberként	magánember
magánházak	magánház
magánokiratot	magánokirat
magántulajdon	magántulaj
magánzárkában	magánzár
maholnap	maholnap
majálisi	majális
makulátlan	makulátl
mamájuk	mama
mandátuma	mandátum
manővert	manőver
mappára	mapp
maradjon	maradj
maradványát	maradvány
margarint	margarin
marketingfeladatok	marketingfeladat
markába	mar
marékkal	mare
maszkszerű	maszkszerű
matematizálás	matematizálás
matutinum	matutinu
mazsorett	mazsoret
mechanizmusoknak	mechanizmus
medicinát	medicin
megadhatjuk	megadhat
megadottnak	megadott
megakadhat	megakadh
megalakul	megal
megalapozhatja	megalapozhat
megalapítottnak	megalapított
megalázkodás	megalázkodás
megbecsülhetik	megbecsülhet
megbeszélnénk	megbeszélne
megbilincselve	megbilincselv
megbolondul	megbolon
megbuktál	megbuktál
megbékült	megbékül
megbízhatja	megbízhat
megbízni	megbízn
megbízói	megbízó
megerősített	megerősítet
megettünk	megett
megfelelnek	megfelel
megfelelőségi	megfelelőség
megfigyelni	megfigyeln
megfilmesítésére	megfilmesítés
megfogadta	megfogadt
megfogalmazódott	megfogalmazódot
megfontolásaikat	megfontolás
megfossza	megfossz
megfáztok	megfázt
meggazdagodott	meggazdagodot
meggyaláztak	meggyalázt
meggyőz	meggyőz
meggyőzően	meggyőző
meghajtott	meghajtot
meghaladhatja	meghaladhat
meghallgatta	meghallgatt
meghalnánk	meghalna
meghatalmazottjaként	meghatalmazott
meghatározatlan	meghatározatl
meghatározottnak	meghatározott
meghatározóvá	meghatározó
meghirdetésére	meghirdetés
meghosszabbíthatja	meghosszabbíthat
meghozó	meghozó
meghívásos	meghívásos
meghódítás	meghódítás
megigya	megigy
megjegyzéséből	megjegyzés
megjelentetésének	megjelentetés
megjelenésével	megjelenés
megjelenítő	megjelenítő
megjelöléséről	megjelölés
megjósolja	megjósol
megkapni	megkapn
megkeresheti	megkereshet
megkerülhetetlen	megkerülhetetl
megkezdhette	megkezdhett
megkorbácsoltak	megkorbácsolt
megkérdőjelezte	megkérdőjelezt
megkímélni	megkíméln
megkívánt	megkív
megköszöni	megköszön
megkötöttségeket	megkötöttség
megközelítése	megközelítés
megkülönböztetéseket	megkülönböztetés
meglengették	meglengette
megleptek	meglept
megláthatom	megláthat
meglátta	meglátt
megmagyarázni	megmagyarázn
megmenekülés	megmenekülés
megmerítette	megmerített
megmászott	megmászot
megművelni	megműveln
megnevezéséhez	megnevezés
megnyilvánulása	megnyilvánulás
megnyitva	megnyitv
megnyugodtak	megnyugodt
megnyíltak	megnyílt
megnéztünk	megnézt
megnövelhető	megnövelhető
megoldani	megoldan
megoldásokat	megoldás
megoldásorientáltak	megoldásorientált
megosztani	megosztan
megosztását	megosztás
megpecsételődik	megpecsételőd
megpróbálkozok	megpróbálkoz
megpróbáltatásairól	megpróbáltatás
megragadnak	megrag
megrekedni	megrekedn
megrendeléseknek	megrendelés
megrendezésre	megrendezés
megrohamozott	megrohamozot
megrázkódik	megrázkód
megrúgja	megrúg
megsemmisítése	megsemmisítés
megsokszorozva	megsokszorozv
megszagolja	megszagol
megszegheti	megszeghet
megszemélyesítésének	megszemélyesítés
megszerezni	megszerezn
megszerzés	megszerzés
megszilárdulását	megszilárdulás
megszorításokat	megszorítás
megszárított	megszárítot
megszólít	megszólí
megszűntetésének	megszűntetés
megszűnésükig	megszűnés
megszünteti	megszüntet
megsértené	megsérten
megsültünk	megsült
megtagadásával	megtagadás
megtaláltuk	megtalált
megtanulhattam	megtanulhatt
